Title,Year,imdbID,Type,Poster
Inception,2010,tt1375666,movie,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg
Inception: The Cobol Job,2010,tt5295894,movie,https://m.media-amazon.com/images/M/MV5BMjE0NGIwM2EtZjQxZi00ZTE5LWExN2MtNDBlMjY1ZmZkYjU3XkEyXkFqcGdeQXVyNjMwNzk3Mjk@._V1_SX300.jpg
The Crack: Inception,2019,tt6793710,movie,https://m.media-amazon.com/images/M/MV5BZTc4MDliNjAtYmU4YS00NmQzLWEwNjktYTQ2MGFjNDc5MDhlXkEyXkFqcGc@._V1_SX300.jpg
Inception: Jump Right Into the Action,2010,tt5295990,movie,https://m.media-amazon.com/images/M/MV5BZGFjOTRiYjgtYjEzMS00ZjQ2LTkzY2YtOGQ0NDI2NTVjOGFmXkEyXkFqcGdeQXVyNDQ5MDYzMTk@._V1_SX300.jpg
Inception: Motion Comics,2010,tt1790736,series,https://m.media-amazon.com/images/M/MV5BNGRkYzkzZmEtY2YwYi00ZTlmLTgyMTctODE0NTNhNTVkZGIxXkEyXkFqcGdeQXVyNjE4MDMwMjk@._V1_SX300.jpg
Inception,2014,tt7321322,movie,https://m.media-amazon.com/images/M/MV5BOTY3OGFlNTktYTJiZi00ZWMxLTk4MjQtNmJiODkxYThiNjg4XkEyXkFqcGc@._V1_SX300.jpg
Madness Inception,2022,tt29258696,movie,N/A
Inception: 4Movie Premiere Special,2010,tt1686778,movie,N/A
Cyberalien: Inception,2017,tt7926130,movie,N/A
WWA: The Inception,2001,tt0311992,movie,https://m.media-amazon.com/images/M/MV5BNTEyNGJjMTMtZjZhZC00ODFkLWIyYzktN2JjMTcwMmY5MDJlXkEyXkFqcGdeQXVyNDkwMzY5NjQ@._V1_SX300.jpg
Bikini Inception,2015,tt8269586,movie,https://m.media-amazon.com/images/M/MV5BMWFhNWE4ZGEtYjkyNC00ODE0LTk4ZjQtNDU4NzU4NzEyNTZlXkEyXkFqcGc@._V1_SX300.jpg
Inception: In 60 Seconds,2013,tt3262402,movie,N/A
Insha Allah - An inception at closure,2019,tt11224722,movie,https://m.media-amazon.com/images/M/MV5BM2VmM2MzMTctNTRhZi00YzU1LTkyM2MtY2VkYTAwYzk4ZmM1XkEyXkFqcGdeQXVyMTExNzAyMjc5._V1_SX300.jpg
On Inception (TOI and MOI),2011,tt4341988,movie,N/A
Needle Drop Inception,2016,tt4650070,movie,https://m.media-amazon.com/images/M/MV5BNzJkYmU4MzUtN2ZhOS00MWYzLWI4YTUtNTQ3MWJkZGQ4ZTliXkEyXkFqcGdeQXVyMTIxMzc3MDQ@._V1_SX300.jpg
Alien Inception,2017,tt12007102,movie,N/A
BLW Inception,2016,tt12435434,movie,N/A
Inception Premiere,2010,tt12960252,movie,N/A
X - Inception,2021,tt13039892,movie,N/A
Jackass Parody - Inception,2011,tt15680796,movie,N/A
The Inception of Parasite at the Grand Chungking Hotel No Sleep 'til Film Fest,2022,tt20223098,movie,https://m.media-amazon.com/images/M/MV5BMzY4NGY2YWEtMWFiZS00ZTkwLTlmOTEtZDU0ZmVjODVlODc5XkEyXkFqcGc@._V1_SX300.jpg
